Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Oumoussa, I., Faieq, S., Saidi, R.","57436524100;57192090039;24725653100;","When Microservices Architecture and Blockchain Technology Meet: Challenges and Design Concepts",2022,"Lecture Notes on Data Engineering and Communications Technologies","110",,,"161","172",,,"10.1007/978-3-030-94188-8_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123898082&doi=10.1007%2f978-3-030-94188-8_16&partnerID=40&md5=c47eecdc1ec9405043c50ce527edc2f5",Book Chapter,"Final","",Scopus,2-s2.0-85123898082
"Singh, A., Raj, V., Ravichandra, S.","57422264100;57215743655;56646484300;","Integration of Attribute-Based Access Control in Microservices Architecture",2022,"Lecture Notes in Networks and Systems","321",,,"681","690",,,"10.1007/978-981-16-5987-4_69","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123309120&doi=10.1007%2f978-981-16-5987-4_69&partnerID=40&md5=ffed6c536b69f78bb306b91448152611",Conference Paper,"Final","",Scopus,2-s2.0-85123309120
"Quiña-Mera, A., Flores Landeta, D., Rea-Peñafiel, X.M., Guevara-Vega, C.","57205362034;57290045600;57214235601;57205359597;","Quality Evaluation of a Spring Cloud Microservices Architecture Implementation",2022,"Smart Innovation, Systems and Technologies","252",,,"745","754",,,"10.1007/978-981-16-4126-8_66","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116850025&doi=10.1007%2f978-981-16-4126-8_66&partnerID=40&md5=c956687002a238f038e4c158a419f194",Conference Paper,"Final","",Scopus,2-s2.0-85116850025
"Morais, G., Bork, D., Adda, M.","57221502623;56202518300;55897082100;","Towards an ontology-driven approach to model and analyze microservices architectures",2021,"ACM International Conference Proceeding Series",,,,"79","86",,,"10.1145/3444757.3485108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121611952&doi=10.1145%2f3444757.3485108&partnerID=40&md5=0ed7bb4317d6c7ae0623296cc08d13bb",Conference Paper,"Final","",Scopus,2-s2.0-85121611952
"Aksakalli, I.K., Celik, T., Can, A.B., Tekinerdogan, B.","56780440800;55634984700;35101513300;15761578600;","A model-driven architecture for automated deployment of microservices",2021,"Applied Sciences (Switzerland)","11","20","9617","","",,,"10.3390/app11209617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117339162&doi=10.3390%2fapp11209617&partnerID=40&md5=7e9171bb1765ec3931fad153c9112612",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85117339162
"Kristianto, H., Zahra, A.","57289099700;55844125600;","Performance Analysis of Choreography and Orchestration in Microservices Architecture",2021,"Journal of Theoretical and Applied Information Technology","99","18",,"4220","4230",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116631707&partnerID=40&md5=ca49ebedfaaecaa83a5f4743006ffe0a",Article,"Final","",Scopus,2-s2.0-85116631707
"Weerasinghe, L.D.S.B., Perera, I.","56875437600;54783210900;","An exploratory evaluation of replacing ESB with microservices in service-oriented architecture",2021,"Proceedings - International Research Conference on Smart Computing and Systems Engineering, SCSE 2021",,,,"137","144",,,"10.1109/SCSE53661.2021.9568289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118716726&doi=10.1109%2fSCSE53661.2021.9568289&partnerID=40&md5=3d5947e1340f8e265a5202a55006ddfe",Conference Paper,"Final","",Scopus,2-s2.0-85118716726
"Mendonca, N.C., Box, C., Manolache, C., Ryan, L.","55889032000;57239551000;57240193000;57239869800;","The Monolith Strikes Back: Why Istio Migrated from Microservices to a Monolithic Architecture",2021,"IEEE Software","38","5","9520758","17","22",,,"10.1109/MS.2021.3080335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113917561&doi=10.1109%2fMS.2021.3080335&partnerID=40&md5=56a5ae254f10ad9191a0215306062dbd",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85113917561
"Raj, V., Sadam, R.","57215743655;56646484300;","Patterns for migration of soa based applications to microservices architecture",2021,"Journal of Web Engineering","20","5",,"1229","1246",,,"10.13052/jwe1540-9589.2051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114631813&doi=10.13052%2fjwe1540-9589.2051&partnerID=40&md5=54a4143c154df5ffb6483cfcf0705c97",Article,"Final","",Scopus,2-s2.0-85114631813
"Yunanto, A.A., Hardiansyah, F.F., Putra, A.A.A., Rasyid, M.B.A., Arifiani, S.","57211335585;57197713721;57432792200;57330035600;56766258700;","Development of sandbox components with microservices architecture and design patterns in games",2021,"Procedia Computer Science","197",,,"354","361",,,"10.1016/j.procs.2021.12.150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123783801&doi=10.1016%2fj.procs.2021.12.150&partnerID=40&md5=ae3a8c45e402b70ddfa2cdff15f254f6",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85123783801
