Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Oumoussa, I., Faieq, S., Saidi, R.","57436524100;57192090039;24725653100;","When Microservices Architecture and Blockchain Technology Meet: Challenges and Design Concepts",2022,"Lecture Notes on Data Engineering and Communications Technologies","110",,,"161","172",,,"10.1007/978-3-030-94188-8_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123898082&doi=10.1007%2f978-3-030-94188-8_16&partnerID=40&md5=c47eecdc1ec9405043c50ce527edc2f5",Book Chapter,"Final","",Scopus,2-s2.0-85123898082
"Kristianto, H., Zahra, A.","57289099700;55844125600;","Performance Analysis of Choreography and Orchestration in Microservices Architecture",2021,"Journal of Theoretical and Applied Information Technology","99","18",,"4220","4230",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116631707&partnerID=40&md5=ca49ebedfaaecaa83a5f4743006ffe0a",Article,"Final","",Scopus,2-s2.0-85116631707
"Laigner, R., Zhou, Y., Salles, M.A.V., Liu, Y., Kalinowski, M.","57195258642;9732488300;54407264800;57222487010;8288075800;","Data management in microservices: State of the practice, challenges, and research directions",2021,"Proceedings of the VLDB Endowment","14","13",,"3348","",,1,"10.14778/3484224.3484232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117280834&doi=10.14778%2f3484224.3484232&partnerID=40&md5=1a6c2a7b1d33c549a29a7a412282c765",Conference Paper,"Final","",Scopus,2-s2.0-85117280834
"Castillo Rivas, D.A., Guamán, D.","57224319914;57188566526;","Performance and Security Evaluation in Microservices Architecture Using Open Source Containers",2021,"Communications in Computer and Information Science","1388 CCIS",,,"484","498",,,"10.1007/978-3-030-71503-8_37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107362883&doi=10.1007%2f978-3-030-71503-8_37&partnerID=40&md5=631fe0e024d3193eac3ad81174f6eb4d",Conference Paper,"Final","",Scopus,2-s2.0-85107362883
"Bandara, E., Liang, X., Foytik, P., Shetty, S., Ranasinghe, N., Zoysa, K.D., Ng, W.K.","57207573380;57195358870;55923281600;8970891400;24779711700;39862507100;56921257600;","SaaS - Microservices-Based Scalable Smart Contract Architecture",2021,"Communications in Computer and Information Science","1364",,,"228","243",,,"10.1007/978-981-16-0422-5_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102516893&doi=10.1007%2f978-981-16-0422-5_16&partnerID=40&md5=2a4ae89557b934701767ac8e179986af",Conference Paper,"Final","",Scopus,2-s2.0-85102516893
"Shabani, I., Mëziu, E., Berisha, B., Biba, T.","56549829500;57221941965;57222261400;57222260639;","Design of Modern Distributed Systems based on Microservices Architecture",2021,"International Journal of Advanced Computer Science and Applications","12","2",,"153","159",,2,"10.14569/IJACSA.2021.0120220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102053360&doi=10.14569%2fIJACSA.2021.0120220&partnerID=40&md5=66d80d5d543d51e115a1ca7e83411d13",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85102053360
"Liu, G., Huang, B., Liang, Z., Qin, M., Zhou, H., Li, Z.","57219711031;57216158968;55485401600;57221518851;55574209301;57219714337;","Microservices: Architecture, container, and challenges",2020,"Proceedings - Companion of the 2020 IEEE 20th International Conference on Software Quality, Reliability, and Security, QRS-C 2020",,,"9282637","629","635",,1,"10.1109/QRS-C51114.2020.00107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099389136&doi=10.1109%2fQRS-C51114.2020.00107&partnerID=40&md5=548c377d5847d0e8194d1473d8b5e9ab",Conference Paper,"Final","",Scopus,2-s2.0-85099389136
"Waseem, M., Liang, P., Shahin, M.","57189504629;24923262400;57014668800;","A Systematic Mapping Study on Microservices Architecture in DevOps",2020,"Journal of Systems and Software","170",,"110798","","",,21,"10.1016/j.jss.2020.110798","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090026555&doi=10.1016%2fj.jss.2020.110798&partnerID=40&md5=6094b5d14e18c776ecdfcdada562f243",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090026555
"Wei, H., Bai, G., Luo, Z.","57222625612;55954311500;22433447600;","Foggy: A New Anonymous Communication Architecture Based on Microservices",2020,"Proceedings of the IEEE International Conference on Engineering of Complex Computer Systems, ICECCS","2020-October",,"9376209","135","144",,,"10.1109/ICECCS51672.2020.00023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103522519&doi=10.1109%2fICECCS51672.2020.00023&partnerID=40&md5=bad53fb82c99623708fb94de13353579",Conference Paper,"Final","",Scopus,2-s2.0-85103522519
"Santos, N., Salgado, C.E., Morais, F., Melo, M., Silva, S., Martins, R., Pereira, M., Rodrigues, H., Machado, R.J., Ferreira, N., Pereira, M.","55554675300;36612309900;56785916600;57203219604;57200015121;57208203408;57215824273;26025444300;7101977854;55877297872;57215824258;","A logical architecture design method for microservices architectures",2019,"ACM International Conference Proceeding Series","2",,,"145","151",,1,"10.1145/3344948.3344991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081967720&doi=10.1145%2f3344948.3344991&partnerID=40&md5=e53beff670a0e3cbc16d8cee598e79f8",Conference Paper,"Final","",Scopus,2-s2.0-85081967720
